"sample1.1","sample1.2","sample1.3","sample2.1","sample2.2","sample2.3"
1,7,3,5,2,1
411,336,113,154,90,673
32,30,28,10,24,17
7,26,15,11,16,14
26,22,37,20,22,31
169,68,201,29,23,45
6,6,12,0,15,2
290,354,369,270,290,304
33,35,42,49,35,62
657,761,523,511,653,565
60,64,52,66,55,57
368,580,438,489,609,372
0,7,2,6,3,3
12,12,7,6,9,4
270,460,297,521,422,329
5,0,0,0,0,0
0,0,0,0,1,0
100,1,56,35,113,8
63,145,96,116,192,42
611,826,94,526,192,118
8,13,5,25,22,17
77,293,2,15,1,29
52,73,82,642,754,557
0,0,0,0,0,0
923,726,998,646,688,895
0,0,1,0,1,0
71,66,105,109,130,103
402,33,95,366,204,60
0,1,0,0,0,0
1,1,0,0,1,1
16,12,26,46,94,30
27,29,29,29,25,22
0,4,3,9,19,6
124,223,192,74,91,97
72,80,95,73,70,43
6,3,6,9,6,3
1,0,0,0,0,0
895,671,517,191,120,176
680,372,384,330,271,428
45,35,20,16,3,46
384,521,962,748,663,1889
81,143,288,798,10,94
1026,1254,503,1606,398,2120
9,12,13,8,7,4
142,282,152,210,254,116
4,3,23,20,25,28
0,1,2,0,0,2
351,156,126,88,684,233
712,826,627,182,716,480
545,750,835,1309,716,306
9,971,413,1366,491,58
32,28,39,43,51,50
65,38,40,14,9,18
630,375,1304,510,352,161
4,22,59,9,13,6
5,2,12,3,5,14
0,0,0,2,0,2
0,0,0,0,0,0
371,182,373,351,222,244
143,131,8,41,148,190
1696,436,643,1074,425,1786
144,84,37,34,28,75
2134,948,690,1096,522,454
14,7,9,8,9,20
282,82,135,115,169,127
5267,6215,7621,162,392,210
270,10,224,63,504,4
0,0,0,0,0,0
1,2,4,3,1,2
1,0,1,1,0,0
1,0,5,3,9,8
688,639,563,741,764,799
14,12,10,13,11,10
1713,847,1347,1366,1010,988
359,584,345,557,521,500
21,14,9,22,14,17
241,84,254,183,626,133
783,1000,693,928,722,691
15,6,16,12,11,11
14,10,71,321,40,97
0,231,549,1,21,170
3,2,3,3,2,1
0,0,0,0,0,0
136,155,190,209,191,106
1,2,0,2,0,1
0,0,0,1,0,0
16,4,119,7,83,18
0,0,0,0,0,0
62,32,27,37,46,21
321,86,26,96,155,58
0,1,0,0,0,0
59,263,35,1,2,1
0,0,0,0,0,0
3,2,0,17,47,58
27,32,43,13,23,60
1,4,1,5,1,0
41,32,47,89,117,43
635,393,1295,431,1055,1963
3,3,1,1,0,0
17,13,10,598,604,547
35,30,23,44,42,23
163,537,346,145,866,215
18,16,36,21,30,33
58,32,11,233,286,175
0,24,0,2,0,15
1564,520,2327,551,2256,2396
11,3,2,5,6,9
183,479,490,286,1283,822
571,183,68,152,182,4
232,75,376,300,260,209
16,11,0,1,3,4
86,47,58,46,88,76
60,63,47,164,113,68
0,0,0,0,0,0
112,16,77,123,159,86
73,29,15,1,3,2
0,0,0,0,0,0
515,765,615,224,520,488
0,0,0,0,0,0
38,21,35,30,33,27
350,45,275,356,400,79
15,23,24,5,9,31
0,0,0,0,0,0
48,26,20,131,100,87
396,77,348,8,6,78
89,109,119,331,573,442
511,495,57,515,91,220
83,76,71,288,321,290
35,6,4,1,2,0
461,316,465,4688,6050,3450
22,9,19,2424,69,7208
329,518,461,507,481,297
1,0,0,1,0,0
1,2,6,1,0,0
0,0,0,0,0,0
15,21,23,16,3,20
4,10,3,0,19,0
5,9,6,10,1,13
0,0,0,4,1,1
0,0,0,0,0,3
179,317,240,347,135,193
0,0,0,1,1,2
319,459,403,46,75,45
22,44,5,64,72,114
85,77,104,71,94,55
166,309,195,409,279,198
500,981,2444,587,542,1501
0,0,0,0,0,0
0,2,1,0,1,0
173,239,226,82,140,141
53,14,15,39,17,24
3,3,5,6,3,5
307,263,327,226,278,204
57,16,293,50,220,119
0,3,2,0,2,2
391,45,246,345,538,545
131,87,131,226,253,162
68,97,80,77,80,49
0,0,0,0,0,0
1135,497,1186,1115,628,638
360,597,1196,1770,1625,1264
4,3,2,2,0,1
22,32,22,24,28,38
2,1,2,3,7,4
0,7,7,4,1,0
65,132,302,4,11,72
68,107,74,63,52,64
22,18,101,68,17,75
0,0,0,0,0,0
1378,1270,1870,1526,1527,1324
283,346,235,1706,295,3345
0,0,0,0,0,0
164,591,1,11,364,108
723,307,310,206,817,768
38,51,41,60,67,26
611,881,1122,1296,1161,557
4,4,5,10,6,14
13,2,8,3,5,7
1,2,0,1,0,0
133,32,26,3,6,13
156,306,222,399,252,224
104,118,58,48,87,164
2,0,1,3,9,5
0,1,0,0,3,0
293,355,197,478,192,703
59,53,96,45,114,8
429,48,47,368,108,185
9,10,11,6,8,9
54,196,119,98,65,122
15,12,8,70,251,149
12,19,4,7,16,13
102,90,73,124,121,86
4,9,6,6,5,7
1,1,0,0,1,0
289,355,214,327,257,230
1573,1933,1611,1865,1937,1520
128,152,101,70,55,73
1100,1779,1559,1020,1416,2534
49,29,28,120,112,92
82,43,70,68,0,7
2,0,1,5,0,7
8,9,19,4,40,11
624,546,536,686,518,603
3,4,7,2,0,3
23,21,20,19,28,17
704,1004,244,83,1041,164
0,0,0,0,0,0
369,436,579,1768,2934,1298
0,3,0,1,2,0
99,404,170,224,48,212
0,0,0,0,1,0
0,0,0,0,0,0
182,198,476,177,142,312
456,436,350,201,1018,303
214,0,59,52,65,122
1,2,6,1,5,6
0,0,0,0,0,0
124,525,358,7,22,0
802,867,572,582,589,534
977,1355,1393,10,46,17
244,215,186,257,150,338
2,2,2,3,3,4
23,0,14,3,7,0
0,0,0,0,0,0
14,14,9,2,0,0
9,52,28,48,12,145
6,14,12,21,16,20
985,1392,1126,751,655,647
0,0,0,0,0,0
20,20,13,27,10,18
0,0,0,0,0,0
1,13,2,5,5,4
0,0,0,0,0,0
1299,54,12,57,115,32
35,20,13,12,20,11
669,1147,376,538,697,707
4,15,16,13,10,8
24,20,26,51,43,40
55,124,40,83,42,73
35,42,8,1,1,18
2500,2247,1439,444,1028,778
129,487,183,92,65,8
1,2,0,0,0,1
318,268,344,385,316,305
5,9,5,127,164,126
1794,465,1880,1096,1491,405
2,7,1,1,2,1
0,0,0,0,0,0
0,1,1,1,1,0
497,1323,317,300,683,59
0,0,0,0,0,0
116,22,13,150,719,328
0,0,0,0,0,0
0,3,0,2,1,0
315,508,391,179,159,202
13,8,14,110,140,93
67,97,78,33,30,70
0,4,2,3,0,2
8,2,1,7,6,1
290,637,1,45,79,49
0,0,0,0,0,0
30,65,156,47,40,35
13,11,23,5,6,1
5,0,1,1,2,3
0,0,0,0,0,0
283,177,407,39,121,104
